package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
team.applemango.runnerbe.feature.home.board.MainBoardScreen,MainBoardScreen,1,1,1,0,0,0,1,0,2,7,
team.applemango.runnerbe.feature.home.board.component.MainBoardComposable,MainBoardComposable,1,0,1,0,0,0,0,0,1,17,
team.applemango.runnerbe.feature.home.board.component.ToggleTopBarSubItem,ToggleTopBarSubItem,1,1,1,0,0,0,0,0,1,1,
team.applemango.runnerbe.feature.home.board.component.PlaceholderLazyColumn,PlaceholderLazyColumn,1,1,1,0,0,0,0,0,1,2,
team.applemango.runnerbe.feature.home.board.component.RunningItemsEmpty,RunningItemsEmpty,1,1,1,0,0,0,0,0,1,1,
team.applemango.runnerbe.feature.home.board.component.RunningItemsLazyColumn,RunningItemsLazyColumn,1,0,1,0,0,0,0,0,1,1,
team.applemango.runnerbe.feature.home.board.component.NonRegisterUserPopup,NonRegisterUserPopup,1,1,1,0,0,0,0,0,1,1,
team.applemango.runnerbe.feature.home.board.component.RunningItemScreen,RunningItemScreen,1,0,1,0,0,0,0,0,1,3,
team.applemango.runnerbe.feature.home.board.component.RunningItemScreenDummy,RunningItemScreenDummy,1,1,1,0,0,0,0,0,1,1,
